,title,link,department_id,brand,rating,tcin,price,currency,symbol,sponsored,primary_title,ounces
20,Tide Simply Refreshing Breeze Liquid Laundry Detergent - Clean &#38; Fresh - 128 fl oz,https://www.target.com/p/tide-simply-refreshing-breeze-liquid-laundry-detergent-clean-38-fresh-128-fl-oz/-/A-16271116,3,Tide,0.0,16271116,10.99,USD,$,False,Tide Simply Refreshing Breeze Liquid Laundry Detergent ,128
73,Tide Turbo High Efficiency Powder Laundry Detergent - Original - 95oz,https://www.target.com/p/tide-turbo-high-efficiency-powder-laundry-detergent-original-95oz/-/A-14711314,3,Tide,0.0,14711314,15.99,USD,$,False,Tide Turbo High Efficiency Powder Laundry Detergent ,95
62,Tide Ultra Stain Release FREE Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-ultra-stain-release-free-liquid-laundry-detergent-92-fl-oz/-/A-17264560,3,Tide,4.7,17264560,12.99,USD,$,False,Tide Ultra Stain Release FREE Liquid Laundry Detergent ,92
103,Tide Ultra Stain Release High Efficiency Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-ultra-stain-release-high-efficiency-liquid-laundry-detergent-92-fl-oz/-/A-15043021,3,Tide,4.5,15043021,12.99,USD,$,False,Tide Ultra Stain Release High Efficiency Liquid Laundry Detergent ,92
148,Tide Zero Soft Liquid Laundry Detergent - Lavender Scent - 92 fl oz,https://www.target.com/p/tide-zero-soft-liquid-laundry-detergent-lavender-scent-92-fl-oz/-/A-81428748,3,Tide,0.0,81428748,12.99,USD,$,False,Tide Zero Soft Liquid Laundry Detergent ,92
24,Tide purclean Honey Lavender Liquid Laundry Detergent - 69 fl oz,https://www.target.com/p/tide-purclean-honey-lavender-liquid-laundry-detergent-69-fl-oz/-/A-50715505,3,Tide,4.6,50715505,12.99,USD,$,False,Tide purclean Honey Lavender Liquid Laundry Detergent ,69
97,Tide purclean Unscented Liquid Laundry Detergent - 69 fl oz,https://www.target.com/p/tide-purclean-unscented-liquid-laundry-detergent-69-fl-oz/-/A-51142687,3,Tide,4.3,51142687,12.99,USD,$,False,Tide purclean Unscented Liquid Laundry Detergent ,69
102,Tide with Bleach Alternative Original Scent HE Compatible Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-with-bleach-alternative-original-scent-he-compatible-liquid-laundry-detergent-92-fl-oz/-/A-15043036,3,Tide,0.0,15043036,12.99,USD,$,False,Tide with Bleach Alternative Original Scent HE Compatible Liquid Laundry Detergent ,92
48,Tide with Downy Powder Laundry Detergent - 148oz,https://www.target.com/p/tide-with-downy-powder-laundry-detergent-148oz/-/A-52928047,3,Tide,4.7,52928047,22.99,USD,$,False,Tide with Downy Powder Laundry Detergent ,148
146,Ultra-Concentrated Laundry Detergent - Free &#38; Clear - 32 fl oz - Everspring&#8482;,https://www.target.com/p/ultra-concentrated-laundry-detergent-free-38-clear-32-fl-oz-everspring-8482/-/A-84300912,3,Everspring,4.2,84300912,14.39,USD,$,False,Ultra,32
77,Woolite Darks Liquid Laundry Detergent - 100oz,https://www.target.com/p/woolite-darks-liquid-laundry-detergent-100oz/-/A-84221889,3,Woolite,0.0,84221889,16.69,USD,$,False,Woolite Darks Liquid Laundry Detergent ,100
78,Woolite Gentles Liquid Laundry Detergent - 100oz,https://www.target.com/p/woolite-gentles-liquid-laundry-detergent-100oz/-/A-84221888,3,Woolite,0.0,84221888,16.69,USD,$,False,Woolite Gentles Liquid Laundry Detergent ,100
199,Zero Odor Laundry Odor Eliminator Additive -16oz,https://www.target.com/p/zero-odor-laundry-odor-eliminator-additive-16oz/-/A-89085844,3,Zero Odor,0.0,89085844,14.99,USD,$,False,Zero Odor Laundry Odor Eliminator Additive ,16
198,Zum Laundry Soap - Frankincense &#38; Myrrh - 64 fl oz,https://www.target.com/p/zum-laundry-soap-frankincense-38-myrrh-64-fl-oz/-/A-87559718,3,Zum,4.2,87559718,14.49,USD,$,False,Zum Laundry Soap ,64
196,Zum Laundry Soap - Lavender - 64 fl oz,https://www.target.com/p/zum-laundry-soap-lavender-64-fl-oz/-/A-87559686,3,Zum,0.0,87559686,14.49,USD,$,False,Zum Laundry Soap ,64
197,Zum Laundry Soap - Sea Salt - 64 fl oz,https://www.target.com/p/zum-laundry-soap-sea-salt-64-fl-oz/-/A-87559717,3,Zum,5.0,87559717,14.49,USD,$,False,Zum Laundry Soap ,64
